grid_id,date,pm2_5,pm10,so2,no2,o3,co,lat,lon,temperature,humidity,relative_humidity,precipitation,wind_speed,gust_speed,atmospheric_pressure,cultivated_area,forest_area,grassland_area,water_body_area,urban_vs_rural,unused_land_area,ocean_area,elevation,aerosol_optical_depth,weekday,day,year,month,population,population_weight
11888,2019-12-01,13.958333333333332,22.958333333333336,3.125,16.0,37.625,0.6083333333333333,29.75,119.0,5.55856325,0.00474325,94.75,17.98138775,74.3368035,1.81556575,9918.5893555,25506264.0,565802176.0,8671216.0,68525504.0,1640380.88,0.0,0.0,370.0029907,0.0,6,1,2019,12,42762.73318248987,2.960797192267392e-05
11893,2019-12-01,23.291666666666668,24.791666666666664,2.25,41.54166666666666,5.875,0.9208333333333332,29.75,120.25,7.95856475,0.005121,92.5,20.98138775,73.561802,3.09056575,9982.5895995,233546192.0,279654304.0,25816988.0,16174590.0,114953456.0,0.0,0.0,70.8085022,0.0,6,1,2019,12,742082.899433136,0.0005138018086203
23105,2019-12-01,16.208333333333336,37.16666666666666,14.541666666666668,30.70833333333333,38.5,0.6166666666666667,41.0,122.0,-2.49143225,0.00102225,35.75,3.13138725,39.96179975,5.190565749999999,26532.18994125,403829440.0,0.0,423014.38,41333940.0,71762792.0,66637900.0,0.0,2.5962501,0.0,6,1,2019,12,391091.807931304,0.0002707833294706
4898,2019-12-01,35.34722222222222,68.90277777777779,9.34722222222222,33.083333333333336,64.93055555555556,0.7083333333333334,22.75,114.5,20.75856,0.006716,7.0,20.20638775,31.23679925,7.565566,9419.189209,80699320.0,330368768.0,6079091.0,6097755.5,190958880.0,0.0,0.0,112.262001,0.1965,6,1,2019,12,858903.6583977342,0.0005946859218188
11898,2019-12-01,18.15277777777778,26.11111111111111,6.986111111111111,45.65277777777777,14.055555555555555,0.8013888888888889,29.75,121.5,9.45856475,0.0052765,92.5,22.35638775,72.81180225,11.51556575,10295.38916,334249024.0,117283408.0,3000000.0,18610814.0,197002304.0,0.0,0.0,36.1217003,0.0,6,1,2019,12,2151202.1209640503,0.0014894448333246
11839,2019-12-01,34.645833333333336,45.29166666666666,8.0,37.208333333333336,14.3125,0.6979166666666667,29.75,106.75,10.983566,0.00443425,77.25,14.08138775,79.03680225,1.76556575,11149.18969725,382476800.0,116899280.0,2648614.75,8162855.5,159957984.0,0.0,0.0,353.0570068,0.0,6,1,2019,12,235263.1357841492,0.0001628909987818
11590,2019-12-01,30.541666666666664,48.125,6.125,35.791666666666664,10.525,0.8625,29.5,106.75,10.9085615,0.0042805,79.5,14.5063875,78.2868005,1.91556575,10899.18945325,472921472.0,86624224.0,1489923.62,34082096.0,76658880.0,0.0,0.0,335.0570068,0.0,6,1,2019,12,233588.13347244263,0.0001617312641782
11838,2019-12-01,31.8,48.21666666666666,7.9300000000000015,29.95,21.916666666666668,0.8116666666666668,29.75,106.5,10.30856325,0.0039472499999999,72.75,13.50638725,78.88680275,2.26556575,11042.78930675,296005312.0,89035664.0,1316795.5,16353769.0,267434000.0,0.0,0.0,348.0350037,0.0,6,1,2019,12,954796.99933815,0.0006610803530171
23110,2019-12-01,14.875,27.833333333333336,5.416666666666667,23.416666666666664,34.0,0.6333333333333333,41.0,123.25,-4.44143675,0.0010465,42.5,2.90638725,40.68679899999999,3.99056575,25838.38964825,103298184.0,430640288.0,2000000.0,20845638.0,27202964.0,0.0,0.0,224.4839935,0.0,6,1,2019,12,58971.620469644666,4.083064746232758e-05
18094,2019-12-01,157.93055555555554,184.29166666666663,22.52777777777777,67.75,20.45833333333333,2.1375,36.0,114.25,5.05856325,0.0018205,36.5,5.00638725,50.48680025,5.06556625,27025.99072275,416172448.0,4774073.5,4353472.5,10135811.0,189860592.0,0.0,0.0,134.9660034,1.024,6,1,2019,12,1278139.972770691,0.0008849558859006
